id_res_temp,valor_prediccion,fecha,hora
169,0.366,2024-10-04,05:11:43
170,0.379,2024-10-04,05:11:43
171,0.388,2024-10-04,05:11:44
172,0.395,2024-10-04,05:11:44
173,0.400,2024-10-04,05:11:44
174,0.354,2024-10-04,05:11:44
175,0.307,2024-10-04,05:11:44
176,0.277,2024-10-04,05:11:44
177,0.258,2024-10-04,05:11:44
178,0.242,2024-10-04,05:11:44
179,0.235,2024-10-04,05:11:44
180,0.253,2024-10-04,05:11:44
181,0.288,2024-10-04,05:11:44
182,0.310,2024-10-04,05:11:44
183,0.327,2024-10-04,05:11:44
184,0.346,2024-10-04,05:11:44
185,0.353,2024-10-04,05:11:44
186,0.357,2024-10-04,05:11:44
187,0.398,2024-10-04,05:11:45
188,0.413,2024-10-04,05:11:45
189,0.416,2024-10-04,05:11:45
190,0.447,2024-10-04,05:11:45
191,0.460,2024-10-04,05:11:45
192,0.484,2024-10-04,05:11:45
193,0.480,2024-10-04,05:11:45
194,0.483,2024-10-04,05:11:45
195,0.479,2024-10-04,05:11:45
196,0.480,2024-10-04,05:11:45
197,0.467,2024-10-04,05:11:45
198,0.460,2024-10-04,05:11:45
199,0.463,2024-10-04,05:11:45
200,0.469,2024-10-04,05:11:45
201,0.468,2024-10-04,05:11:45
202,0.489,2024-10-04,05:11:45
203,0.503,2024-10-04,05:11:45
204,0.505,2024-10-04,05:11:46
205,0.514,2024-10-04,05:11:46
206,0.544,2024-10-04,05:11:46
207,0.562,2024-10-04,05:11:46
208,0.575,2024-10-04,05:11:46
209,0.568,2024-10-04,05:11:46
210,0.587,2024-10-04,05:11:46
211,0.581,2024-10-04,05:11:46
212,0.585,2024-10-04,05:11:46
213,0.585,2024-10-04,05:11:46
214,0.593,2024-10-04,05:11:46
215,0.596,2024-10-04,05:11:46
216,0.603,2024-10-04,05:11:46
217,0.602,2024-10-04,05:11:46
218,0.607,2024-10-04,05:11:46
219,0.608,2024-10-04,05:11:47
220,0.611,2024-10-04,05:11:47
221,0.603,2024-10-04,05:11:47
222,0.584,2024-10-04,05:11:47
223,0.584,2024-10-04,05:11:47
224,0.600,2024-10-04,05:11:47
225,0.585,2024-10-04,05:11:47
226,0.587,2024-10-04,05:11:47
227,0.577,2024-10-04,05:11:47
228,0.581,2024-10-04,05:11:47
229,0.569,2024-10-04,05:11:47
230,0.570,2024-10-04,05:11:47
231,0.569,2024-10-04,05:11:47
232,0.547,2024-10-04,05:11:47
233,0.555,2024-10-04,05:11:47
234,0.555,2024-10-04,05:11:47
235,0.564,2024-10-04,05:11:48
236,0.547,2024-10-04,05:11:48
237,0.554,2024-10-04,05:11:48
238,0.548,2024-10-04,05:11:48
239,0.543,2024-10-04,05:11:48
240,0.535,2024-10-04,05:11:48
241,0.535,2024-10-04,05:11:48
242,0.509,2024-10-04,05:11:48
243,0.509,2024-10-04,05:11:48
244,0.506,2024-10-04,05:11:48
245,0.495,2024-10-04,05:11:48
246,0.499,2024-10-04,05:11:48
247,0.516,2024-10-04,05:11:48
248,0.494,2024-10-04,05:11:48
249,0.502,2024-10-04,05:11:48
250,0.540,2024-10-04,05:11:48
251,0.577,2024-10-04,05:11:49
252,0.596,2024-10-04,05:11:49
253,0.613,2024-10-04,05:11:49
254,0.626,2024-10-04,05:11:49
255,0.631,2024-10-04,05:11:49
256,0.630,2024-10-04,05:11:49
257,0.620,2024-10-04,05:11:49
258,0.636,2024-10-04,05:11:49
259,0.628,2024-10-04,05:11:49
260,0.613,2024-10-04,05:11:49
261,0.624,2024-10-04,05:11:49
262,0.647,2024-10-04,05:11:49
263,0.650,2024-10-04,05:11:49
264,0.652,2024-10-04,05:11:49
265,0.667,2024-10-04,05:11:49
266,0.689,2024-10-04,05:11:49
267,0.701,2024-10-04,05:11:50
268,0.704,2024-10-04,05:11:50
269,0.683,2024-10-04,05:11:50
270,0.681,2024-10-04,05:11:50
271,0.607,2024-10-04,05:11:50
272,0.553,2024-10-04,05:11:50
273,0.534,2024-10-04,05:11:50
274,0.461,2024-10-04,05:11:50
275,0.412,2024-10-04,05:11:50
276,0.373,2024-10-04,05:11:50
277,0.349,2024-10-04,05:11:50
278,0.345,2024-10-04,05:11:50
279,0.334,2024-10-04,05:11:50
280,0.333,2024-10-04,05:11:50
281,0.326,2024-10-04,05:11:50
282,0.334,2024-10-04,05:11:50
283,0.327,2024-10-04,05:11:51
284,0.308,2024-10-04,05:11:51
285,0.308,2024-10-04,05:11:51
286,0.308,2024-10-04,05:11:51
287,0.299,2024-10-04,05:11:51
288,0.286,2024-10-04,05:11:51
289,0.287,2024-10-04,05:11:51
290,0.283,2024-10-04,05:11:51
291,0.296,2024-10-04,05:11:51
292,0.310,2024-10-04,05:11:51
293,0.300,2024-10-04,05:11:51
294,0.292,2024-10-04,05:11:51
295,0.290,2024-10-04,05:11:51
296,0.274,2024-10-04,05:11:51
297,0.276,2024-10-04,05:11:51
298,0.272,2024-10-04,05:11:51
299,0.270,2024-10-04,05:11:52
300,0.287,2024-10-04,05:11:52
301,0.291,2024-10-04,05:11:52
302,0.293,2024-10-04,05:11:52
303,0.307,2024-10-04,05:11:52
304,0.310,2024-10-04,05:11:52
305,0.309,2024-10-04,05:11:52
306,0.309,2024-10-04,05:11:52
307,0.298,2024-10-04,05:11:52
308,0.287,2024-10-04,05:11:52
309,0.314,2024-10-04,05:11:52
310,0.326,2024-10-04,05:11:52
311,0.352,2024-10-04,05:11:52
312,0.373,2024-10-04,05:11:52
313,0.383,2024-10-04,05:11:52
314,0.394,2024-10-04,05:11:52
315,0.400,2024-10-04,05:11:53
316,0.441,2024-10-04,05:11:53
317,0.448,2024-10-04,05:11:53
318,0.479,2024-10-04,05:11:53
319,0.535,2024-10-04,05:11:53
320,0.571,2024-10-04,05:11:53
321,0.574,2024-10-04,05:11:53
322,0.586,2024-10-04,05:11:53
323,0.603,2024-10-04,05:11:53
324,0.590,2024-10-04,05:11:53
325,0.595,2024-10-04,05:11:53
326,0.573,2024-10-04,05:11:53
327,0.563,2024-10-04,05:11:53
328,0.569,2024-10-04,05:11:53
329,0.582,2024-10-04,05:11:53
330,0.568,2024-10-04,05:11:54
331,0.566,2024-10-04,05:11:54
332,0.571,2024-10-04,05:11:54
333,0.595,2024-10-04,05:11:54
334,0.598,2024-10-04,05:11:54
335,0.619,2024-10-04,05:11:54
336,0.614,2024-10-04,05:11:54
337,0.623,2024-10-04,05:11:54
338,0.633,2024-10-04,05:11:54
339,0.635,2024-10-04,05:11:54
340,0.633,2024-10-04,05:11:54
341,0.642,2024-10-04,05:11:54
342,0.645,2024-10-04,05:11:54
343,0.644,2024-10-04,05:11:54
344,0.646,2024-10-04,05:11:54
345,0.648,2024-10-04,05:11:54
346,0.643,2024-10-04,05:11:55
347,0.628,2024-10-04,05:11:55
348,0.636,2024-10-04,05:11:55
349,0.642,2024-10-04,05:11:55
350,0.642,2024-10-04,05:11:55
351,0.639,2024-10-04,05:11:55
352,0.644,2024-10-04,05:11:55
353,0.647,2024-10-04,05:11:55
354,0.644,2024-10-04,05:11:55
355,0.670,2024-10-04,05:11:55
356,0.659,2024-10-04,05:11:55
357,0.637,2024-10-04,05:11:55
358,0.620,2024-10-04,05:11:55
359,0.656,2024-10-04,05:11:55
360,0.637,2024-10-04,05:11:55
361,0.608,2024-10-04,05:11:56
362,0.642,2024-10-04,05:11:56
363,0.653,2024-10-04,05:11:56
364,0.620,2024-10-04,05:11:56
365,0.687,2024-10-04,05:11:56
366,0.662,2024-10-04,05:11:56
367,0.641,2024-10-04,05:11:56
368,0.667,2024-10-04,05:11:56
369,0.664,2024-10-04,05:11:56
370,0.664,2024-10-04,05:11:56
371,0.665,2024-10-04,05:11:56
372,0.662,2024-10-04,05:11:56
373,0.663,2024-10-04,05:11:56
374,0.664,2024-10-04,05:11:56
375,0.665,2024-10-04,05:11:56
376,0.666,2024-10-04,05:11:56
377,0.646,2024-10-04,05:11:57
378,0.656,2024-10-04,05:11:57
379,0.647,2024-10-04,05:11:57
380,0.628,2024-10-04,05:11:57
381,0.665,2024-10-04,05:11:57
382,0.636,2024-10-04,05:11:57
383,0.640,2024-10-04,05:11:57
384,0.635,2024-10-04,05:11:57
385,0.655,2024-10-04,05:11:57
386,0.651,2024-10-04,05:11:57
387,0.651,2024-10-04,05:11:57
