Fecha, Hora,Estado_general, Estado_detallado, Valor de Prediccion
2024-10-04,01:48:58,Estable,Estable,0.0148257
2024-10-04,01:48:58,Estable,Estable,0.0139332805
2024-10-04,01:48:58,Estable,Estable,0.019829663
2024-10-04,01:48:58,Estable,Estable,0.015417559
2024-10-04,01:48:58,Estable,Estable,0.01407965
2024-10-04,01:48:58,Estable,Estable,0.018080331
2024-10-04,01:48:58,Estable,Estable,0.012287376
2024-10-04,01:48:58,Estable,Estable,0.013719958
2024-10-04,01:48:59,Estable,Estable,0.014358575
2024-10-04,01:48:59,Estable,Estable,0.014977136
2024-10-04,01:48:59,Estable,Estable,0.014664606
2024-10-04,01:48:59,Estable,Estable,0.015161741
2024-10-04,01:48:59,Estable,Estable,0.014808597
2024-10-04,01:48:59,Estable,Estable,0.015348953
2024-10-04,01:48:59,Estable,Estable,0.013316003
2024-10-04,01:48:59,Estable,Estable,0.015235595
2024-10-04,01:48:59,Estable,Estable,0.01612864
2024-10-04,01:48:59,Estable,Estable,0.014435819
2024-10-04,01:48:59,Estable,Estable,0.01674292
2024-10-04,01:49:00,Estable,Estable,0.015851095
2024-10-04,01:49:00,Estable,Estable,0.017740645
2024-10-04,01:49:00,Estable,Estable,0.01611803
2024-10-04,01:49:00,Estable,Estable,0.021694219
2024-10-04,01:49:00,Estable,Estable,0.016447444
2024-10-04,01:49:00,Estable,Estable,0.017399078
2024-10-04,01:49:00,Estable,Estable,0.017640758
2024-10-04,01:49:00,Estable,Estable,0.017017193
2024-10-04,01:49:00,Estable,Estable,0.016517242
2024-10-04,01:49:00,Estable,Estable,0.016309133
2024-10-04,01:49:01,Estable,Estable,0.015809217
2024-10-04,01:49:01,Estable,Estable,0.012042899
2024-10-04,01:49:01,Estable,Estable,0.017028619
2024-10-04,01:49:01,Estable,Estable,0.01982047
2024-10-04,01:49:01,Estable,Estable,0.023750221
2024-10-04,01:49:01,Estable,Estable,0.014688265
2024-10-04,01:49:01,Estable,Estable,0.025052164
2024-10-04,01:49:01,Estable,Estable,0.020704549
2024-10-04,01:49:01,Estable,Estable,0.024561679
2024-10-04,01:49:01,Estable,Estable,0.019151034
2024-10-04,01:49:01,Estable,Estable,0.024776801
2024-10-04,01:49:02,Estable,Estable,0.02343136
2024-10-04,01:49:02,Estable,Estable,0.033839338
2024-10-04,01:49:02,Estable,Estable,0.03038175
2024-10-04,01:49:02,Estable,Estable,0.027238885
2024-10-04,01:49:02,Estable,Estable,0.047024727
2024-10-04,01:49:02,Estable,Estable,0.029735742
2024-10-04,01:49:02,Estable,Estable,0.036479205
2024-10-04,01:49:02,Estable,Estable,0.034605198
2024-10-04,01:49:02,Estable,Estable,0.051598027
2024-10-04,01:49:02,Estable,Estable,0.052906062
2024-10-04,01:49:03,Estable,Estable,0.040583804
2024-10-04,01:49:03,Estable,Estable,0.0508271
2024-10-04,01:49:03,Estable,Estable,0.03923541
2024-10-04,01:49:03,Estable,Estable,0.093327366
2024-10-04,01:49:03,Estable,Estable,0.10023014
2024-10-04,01:49:03,Estable,Estable,0.11546022
2024-10-04,01:49:03,Estable,Estable,0.12627059
2024-10-04,01:49:03,Estable,Estable,0.06449029
2024-10-04,01:49:03,Estable,Estable,0.106281795
2024-10-04,01:49:03,Estable,Estable,0.04455182
2024-10-04,01:49:03,Estable,Estable,0.05672387
2024-10-04,01:49:04,Estable,Estable,0.108703025
2024-10-04,01:49:04,Estable,Estable,0.10171618
2024-10-04,01:49:04,Estable,Estable,0.14031436
2024-10-04,01:49:04,Estable,Estable,0.21344502
2024-10-04,01:49:04,Estable,Estable,0.11870014
2024-10-04,01:49:04,Estable,Estable,0.16530867
2024-10-04,01:49:04,Estable,Estable,0.13043696
2024-10-04,01:49:04,Estable,Estable,0.35584694
2024-10-04,01:49:04,Estable,Estable,0.26439044
2024-10-04,01:49:04,Estable,Estable,0.46725476
2024-10-04,01:49:04,Estable,Estable,0.378641
2024-10-04,01:49:05,Estable,Estable,0.23569095
2024-10-04,01:49:05,Estable,Estable,0.20515619
2024-10-04,01:49:05,Inestable,Inestabilidad leve,0.5921624
2024-10-04,01:49:05,Inestable,Inestabilidad moderada,0.69619066
2024-10-04,01:49:05,Inestable,Inestabilidad moderada,0.6803411
2024-10-04,01:49:05,Inestable,Inestabilidad leve,0.6467786
2024-10-04,01:49:05,Inestable,Inestabilidad leve,0.64501077
2024-10-04,01:49:05,Inestable,Inestabilidad leve,0.64724606
2024-10-04,01:49:05,Inestable,Inestabilidad leve,0.64904225
2024-10-04,01:49:06,Inestable,Inestabilidad leve,0.65390027
2024-10-04,01:49:06,Inestable,Inestabilidad leve,0.6403254
2024-10-04,01:49:06,Inestable,Inestabilidad leve,0.63970405
2024-10-04,01:49:06,Inestable,Inestabilidad leve,0.6317136
2024-10-04,01:49:06,Inestable,Inestabilidad leve,0.63486576
2024-10-04,01:49:06,Inestable,Inestabilidad leve,0.6328106
2024-10-04,01:49:06,Inestable,Inestabilidad leve,0.6286164
2024-10-04,01:49:06,Inestable,Inestabilidad leve,0.62907445
2024-10-04,01:49:06,Inestable,Inestabilidad leve,0.63012505
2024-10-04,01:49:06,Inestable,Inestabilidad leve,0.63390195
2024-10-04,01:49:06,Inestable,Inestabilidad leve,0.6193783
2024-10-04,01:49:07,Inestable,Inestabilidad leve,0.6228304
2024-10-04,01:49:07,Inestable,Inestabilidad leve,0.6163914
2024-10-04,01:49:07,Inestable,Inestabilidad leve,0.6127075
2024-10-04,01:49:07,Inestable,Inestabilidad leve,0.5723123
2024-10-04,01:49:07,Inestable,Inestabilidad leve,0.5980726
2024-10-04,01:49:07,Inestable,Inestabilidad leve,0.5527166
2024-10-04,01:49:07,Inestable,Inestabilidad leve,0.5765431
2024-10-04,01:49:07,Inestable,Inestabilidad leve,0.5337376
2024-10-04,01:49:07,Inestable,Inestabilidad leve,0.5496813
2024-10-04,01:49:07,Inestable,Inestabilidad leve,0.50000775
2024-10-04,01:49:07,Estable,Estable,0.4925464
2024-10-04,01:49:08,Inestable,Inestabilidad leve,0.50632
2024-10-04,01:49:08,Estable,Estable,0.4391957
2024-10-04,01:49:08,Inestable,Inestabilidad leve,0.51542217
