Fecha y Hora,Estado,Valor de Predicción
2024-09-30 03:11:10,Estable,0.49686795
2024-09-30 03:11:10,Estable,0.4897563
2024-09-30 03:11:10,Estable,0.4927834
2024-09-30 03:11:10,Estable,0.49701348
2024-09-30 03:11:10,Inestable,0.5014869
2024-09-30 03:11:10,Estable,0.49837145
2024-09-30 03:11:10,Estable,0.49906823
2024-09-30 03:11:10,Inestable,0.5012677
2024-09-30 03:11:10,Inestable,0.5001751
2024-09-30 03:11:10,Inestable,0.5037506
2024-09-30 03:11:10,Inestable,0.5125894
2024-09-30 03:11:10,Inestable,0.51632917
2024-09-30 03:11:10,Inestable,0.5167799
2024-09-30 03:11:10,Inestable,0.5064268
2024-09-30 03:11:10,Inestable,0.5088119
2024-09-30 03:11:11,Inestable,0.51992023
2024-09-30 03:11:11,Inestable,0.5138308
2024-09-30 03:11:11,Inestable,0.51679087
2024-09-30 03:11:11,Inestable,0.5098914
2024-09-30 03:11:11,Inestable,0.5180999
2024-09-30 03:11:11,Inestable,0.52857524
2024-09-30 03:11:11,Inestable,0.5344547
2024-09-30 03:11:11,Inestable,0.5351955
2024-09-30 03:11:11,Inestable,0.53311706
2024-09-30 03:11:11,Inestable,0.53565997
2024-09-30 03:11:11,Inestable,0.5431972
2024-09-30 03:11:11,Inestable,0.543184
2024-09-30 03:11:11,Inestable,0.53987503
2024-09-30 03:11:11,Inestable,0.5434116
2024-09-30 03:11:11,Inestable,0.5289165
2024-09-30 03:11:11,Inestable,0.53165627
2024-09-30 03:11:11,Inestable,0.52116764
2024-09-30 03:11:11,Inestable,0.5212872
2024-09-30 03:11:12,Inestable,0.5056064
2024-09-30 03:11:12,Inestable,0.5160414
2024-09-30 03:11:12,Inestable,0.507352
2024-09-30 03:11:12,Inestable,0.5166818
2024-09-30 03:11:12,Inestable,0.51690745
2024-09-30 03:11:12,Estable,0.494362
2024-09-30 03:11:12,Inestable,0.5093676
2024-09-30 03:11:12,Inestable,0.50616324
2024-09-30 03:11:12,Inestable,0.5180464
2024-09-30 03:11:12,Inestable,0.5166893
2024-09-30 03:11:12,Inestable,0.51546806
2024-09-30 03:11:12,Inestable,0.51679057
2024-09-30 03:11:12,Inestable,0.5202501
2024-09-30 03:11:12,Inestable,0.51719916
2024-09-30 03:11:12,Inestable,0.5143982
2024-09-30 03:11:12,Inestable,0.51697123
2024-09-30 03:11:12,Inestable,0.51635945
2024-09-30 03:11:12,Inestable,0.5187248
2024-09-30 03:11:12,Inestable,0.52578074
2024-09-30 03:11:13,Inestable,0.5246957
2024-09-30 03:11:13,Inestable,0.53635895
2024-09-30 03:11:13,Inestable,0.53281415
2024-09-30 03:11:13,Inestable,0.54460263
2024-09-30 03:11:13,Inestable,0.5678701
2024-09-30 03:11:13,Inestable,0.56461644
2024-09-30 03:11:13,Inestable,0.7146003
2024-09-30 03:11:13,Inestable,0.7155815
2024-09-30 03:11:13,Inestable,0.64316016
2024-09-30 03:11:13,Inestable,0.6001315
2024-09-30 03:11:13,Inestable,0.59514934
2024-09-30 03:11:13,Inestable,0.58585644
2024-09-30 03:11:13,Inestable,0.58587945
2024-09-30 03:11:13,Inestable,0.5834707
2024-09-30 03:11:13,Inestable,0.576787
2024-09-30 03:11:13,Inestable,0.5756173
2024-09-30 03:11:13,Inestable,0.56994736
2024-09-30 03:11:13,Inestable,0.5728328
2024-09-30 03:11:14,Inestable,0.5760472
2024-09-30 03:11:14,Inestable,0.5635575
2024-09-30 03:11:14,Inestable,0.56816125
2024-09-30 03:11:14,Inestable,0.56612533
2024-09-30 03:11:14,Inestable,0.56433415
2024-09-30 03:11:14,Inestable,0.56511
2024-09-30 03:11:14,Inestable,0.5771495
2024-09-30 03:11:14,Inestable,0.56940687
2024-09-30 03:11:14,Inestable,0.56992805
2024-09-30 03:11:14,Inestable,0.58199155
2024-09-30 03:11:14,Inestable,0.56647646
2024-09-30 03:11:14,Inestable,0.56916964
2024-09-30 03:11:14,Inestable,0.57635844
2024-09-30 03:11:14,Inestable,0.57510126
2024-09-30 03:11:14,Inestable,0.55793786
2024-09-30 03:11:14,Inestable,0.5662147
2024-09-30 03:11:14,Inestable,0.5609883
2024-09-30 03:11:15,Inestable,0.5588823
2024-09-30 03:11:15,Inestable,0.56032085
2024-09-30 03:11:15,Inestable,0.5593775
2024-09-30 03:11:15,Inestable,0.551185
2024-09-30 03:11:15,Inestable,0.5468031
2024-09-30 03:11:15,Inestable,0.5521903
2024-09-30 03:11:15,Inestable,0.55587035
2024-09-30 03:11:15,Inestable,0.5570687
2024-09-30 03:11:15,Inestable,0.54315007
2024-09-30 03:11:15,Inestable,0.54261696
2024-09-30 03:11:15,Inestable,0.5506776
2024-09-30 03:11:15,Inestable,0.5501271
2024-09-30 03:11:15,Inestable,0.54726297
2024-09-30 03:11:15,Inestable,0.5450821
2024-09-30 03:11:15,Inestable,0.54664314
2024-09-30 03:11:15,Inestable,0.5644386
2024-09-30 03:11:15,Inestable,0.55695784
2024-09-30 03:11:15,Inestable,0.5567523
2024-09-30 03:11:16,Inestable,0.55570674
2024-09-30 03:11:16,Inestable,0.5536933
2024-09-30 03:11:16,Inestable,0.5574796
2024-09-30 03:11:16,Inestable,0.55314237
2024-09-30 03:11:16,Inestable,0.5534439
2024-09-30 03:11:16,Inestable,0.5327909
